code,poor215,temp,indexagri,rule_of_law_pct,z_poor,z_temp,z_agri,z_rule,risk_score,rank,label_name
DNK,.5484611428571429,9.502799,1.026569351,98.026558,-.67829019,-1.2262203,-.96824342,1.8427362,-4.7154903,129,
USA,.9184671764705891,7.2953963,.9205600579999915,90.548775,-.65999269,-1.5595585,-.97820038,1.5752991,-4.7730508,130,
SWE,.6461582380952382,7.2588129,1.392786621,97.751831,-.67345887,-1.5650829,-.93384635,1.8329109,-5.0052991,131,
CHE,.1506514,7.4615293,.635024356,98.377289,-.69796264,-1.5344709,-1.0050194,1.8552798,-5.0927329,132,
FIN,.0603328214285714,6.2271361,2.386622578,100,-.70242906,-1.7208757,-.84050012,1.9133148,-5.1771197,133,
ISL,.17378975,2.7831938,3.922777196,90.573486,-.69681835,-2.240943,-.6962164,1.576183,-5.2101607,134,
NOR,.3692786666666666,3.929075,1.862995582,99.284187,-.68715107,-2.0679042,-.88968188,1.8877144,-5.5324516,135,
CAN,.2935885222222223,.2096331,1.699891575999999,95.523407,-.69089413,-2.6295745,-.90500146,1.753213,-5.978683,136,
IND,19.12327199999999,,15.97015748,53.779232,.24026915,,.43533653,.26026526,,137,
TWN,.0237246153846154,,,,-.70423937,,,,,138,
SLB,26.1824603,21.395432,,38.497654,.58935928,.56967759,,-.28626844,,139,
ECU,5.92520696,,8.949269523,23.492064,-.41239998,,-.22410198,-.82293165,,140,
UZB,83.45884492857144,,26.76078031,9.9502487,3.4217842,,1.4488482,-1.3072441,,141,
